habitaciones;banos;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;ascensor;circuito_cerrado_tv;parqueadero_visitantes;porteria-recepcion;zonas_verdes;salon_comunal;balcon;barra_estilo_americano;calentador;chimenea;citofono;cocina_integral;terraza;vigilancia;parques_cercanos;estudio;patio;bodega;nombre;ubicacion;precio
2;2;1;92;92;4;No definida;9 a 15 anos;†622000;†6521739,13;1;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;Apartamento;Centro Internacional;600000000
1;2;1;56;56;6;No definida;1 a 8 anos;†523000;†8392857,14;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;Apartamento;Calleja Baja;470000000
3;4;2;144;144;6;No definida;16 a 30 anos;†620000;†6597222,22;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;Apartamento;Cerros de Suba;950000000
1;1;0;31;31;4;Excelente;menor a 1 ano;†130000;†7419354,84;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Mazuren;230000000
3;2;1;52;52;4;No definida;1 a 8 anos;†219000;†5576923,08;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;Apartamento;El plan;290000000
3;3;1;150;150;6;Bueno;mas de 30 anos;†872000;†6533333,33;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;La Cabrera;980000000
3;2;1;110;100;3;No definida;16 a 30 anos;†135000;†4181818,18;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;Apartamento;Ciudad jardin sur;460000000
3;2;0;53;47;3;No definida;9 a 15 anos;†125000;†3207547,17;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;Apartamento;Ub. industrial las delicias;170000000
3;3;1;111;0;4;Excelente;16 a 30 anos;0;†3873873,87;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;Casa;Pradera Norte;430000000
4;4;2;264;264;5;Bueno;mas de 30 anos;†836000;†5303030,3;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;Apartamento;NICOL√ÅS DE FEDERM√ÅN;1400000000
3;2;2;97;0;4;No definida;9 a 15 anos;†272000;†6175257,73;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Pontevedra;599000000
2;3;2;87;82;4;No definida;9 a 15 anos;†350000;†4712643,68;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Los cedros oriental;410000000
